Site,TimeStamp,DO_mgL
Azevedo Pond,5/2/21 11:00,3.3
Azevedo Pond,5/2/21 11:15,3
Azevedo Pond,5/2/21 11:30,3.5
Azevedo Pond,5/2/21 11:45,3.4
Azevedo Pond,5/2/21 12:00,2.8
Azevedo Pond,5/2/21 12:15,2.4
Azevedo Pond,5/2/21 12:30,2.4
Azevedo Pond,5/2/21 12:45,3.5
Azevedo Pond,5/2/21 13:00,2.8
Azevedo Pond,5/2/21 13:15,3
Azevedo Pond,5/2/21 13:30,3.3
Azevedo Pond,5/2/21 13:45,2.9
Azevedo Pond,5/2/21 14:00,2.8
Azevedo Pond,5/2/21 14:15,3
Azevedo Pond,5/2/21 14:30,3.4
Azevedo Pond,5/2/21 14:45,2
Azevedo Pond,5/2/21 15:00,2.7
Azevedo Pond,5/2/21 15:15,2.6
Azevedo Pond,5/2/21 15:30,2.6
Azevedo Pond,5/2/21 15:45,2.7
Azevedo Pond,5/2/21 16:00,2.6
Azevedo Pond,5/2/21 16:15,3.2
Azevedo Pond,5/2/21 16:30,3.4
Azevedo Pond,5/2/21 16:45,1.9
Azevedo Pond,5/2/21 17:00,1.3
Azevedo Pond,5/2/21 17:15,1.1
Azevedo Pond,5/2/21 17:30,0.5
Azevedo Pond,5/2/21 17:45,0.8
Azevedo Pond,5/2/21 18:00,0.1
Azevedo Pond,5/2/21 18:15,0
Azevedo Pond,5/2/21 18:30,0
Azevedo Pond,5/2/21 18:45,0
Azevedo Pond,5/2/21 19:00,0
Azevedo Pond,5/2/21 19:15,0.1
Azevedo Pond,5/2/21 19:30,0.1
Azevedo Pond,5/2/21 19:45,0.1
Azevedo Pond,5/2/21 20:00,0.1
Azevedo Pond,5/2/21 20:15,0.1
Azevedo Pond,5/2/21 20:30,0.3
Azevedo Pond,5/2/21 20:45,2.5
Azevedo Pond,5/2/21 21:00,4.4
Azevedo Pond,5/2/21 21:15,4.9
Azevedo Pond,5/2/21 21:30,4.6
Azevedo Pond,5/2/21 21:45,4.1
Azevedo Pond,5/2/21 22:00,3.6
Azevedo Pond,5/2/21 22:15,3.5
Azevedo Pond,5/2/21 22:30,2.9
Azevedo Pond,5/2/21 22:45,2.5
Azevedo Pond,5/2/21 23:00,2.1
Azevedo Pond,5/2/21 23:15,1.3
Azevedo Pond,5/2/21 23:30,0.7
Azevedo Pond,5/2/21 23:45,0.4
Azevedo Pond,5/3/21 0:00,0.1
Azevedo Pond,5/3/21 0:15,0
Azevedo Pond,5/3/21 0:30,0
Azevedo Pond,5/3/21 0:45,0
Azevedo Pond,5/3/21 1:00,0
Azevedo Pond,5/3/21 1:15,0
Azevedo Pond,5/3/21 1:30,0
Azevedo Pond,5/3/21 1:45,0
Azevedo Pond,5/3/21 2:00,0.3
Azevedo Pond,5/3/21 2:15,0.6
Azevedo Pond,5/3/21 2:30,2.3
Azevedo Pond,5/3/21 2:45,3.9
Azevedo Pond,5/3/21 3:00,5
Azevedo Pond,5/3/21 3:15,5.5
Azevedo Pond,5/3/21 3:30,5.5
Azevedo Pond,5/3/21 3:45,5.1
Azevedo Pond,5/3/21 4:00,5.2
Azevedo Pond,5/3/21 4:15,5.5
Azevedo Pond,5/3/21 4:30,5.7
