Site,TimeStamp,DO_mgL
North Marsh,5/3/21 16:45,9.2
North Marsh,5/3/21 17:00,9.2
North Marsh,5/3/21 17:15,9.3
North Marsh,5/3/21 17:30,9.2
North Marsh,5/3/21 17:45,9.1
North Marsh,5/3/21 18:00,9.1
North Marsh,5/3/21 18:15,8.8
North Marsh,5/3/21 18:30,8.8
North Marsh,5/3/21 18:45,8.6
North Marsh,5/3/21 19:00,8.7
North Marsh,5/3/21 19:15,8.2
North Marsh,5/3/21 19:30,7.8
North Marsh,5/3/21 19:45,8.1
North Marsh,5/3/21 20:00,8.1
North Marsh,5/3/21 20:15,8
North Marsh,5/3/21 20:30,7.6
North Marsh,5/3/21 20:45,7.6
North Marsh,5/3/21 21:00,7.3
North Marsh,5/3/21 21:15,7.2
North Marsh,5/3/21 21:30,6.8
North Marsh,5/3/21 21:45,6.7
North Marsh,5/3/21 22:00,6.4
North Marsh,5/3/21 22:15,6.2
North Marsh,5/3/21 22:30,5.9
North Marsh,5/3/21 22:45,5.8
North Marsh,5/3/21 23:00,5.6
North Marsh,5/3/21 23:15,5.1
North Marsh,5/3/21 23:30,5.4
North Marsh,5/3/21 23:45,5.5
North Marsh,5/4/21 0:00,5.4
North Marsh,5/4/21 0:15,5.3
North Marsh,5/4/21 0:30,5.4
North Marsh,5/4/21 0:45,5.1
North Marsh,5/4/21 1:00,5.1
North Marsh,5/4/21 1:15,5.1
North Marsh,5/4/21 1:30,5.2
North Marsh,5/4/21 1:45,5.2
North Marsh,5/4/21 2:00,5.2
North Marsh,5/4/21 2:15,5.3
North Marsh,5/4/21 2:30,5.2
North Marsh,5/4/21 2:45,5.2
North Marsh,5/4/21 3:00,5.3
North Marsh,5/4/21 3:15,5.4
North Marsh,5/4/21 3:30,5.3
North Marsh,5/4/21 3:45,5.4
North Marsh,5/4/21 4:00,5.4
North Marsh,5/4/21 4:15,5.5
North Marsh,5/4/21 4:30,5.5
North Marsh,5/4/21 4:45,5.7
North Marsh,5/4/21 5:00,5.7
North Marsh,5/4/21 5:15,5.6
North Marsh,5/4/21 5:30,5.5
North Marsh,5/4/21 5:45,5.5
North Marsh,5/4/21 6:00,5.8
North Marsh,5/4/21 6:15,5.7
North Marsh,5/4/21 6:30,5.8
North Marsh,5/4/21 6:45,6
North Marsh,5/4/21 7:00,6.2
North Marsh,5/4/21 7:15,6.1
North Marsh,5/4/21 7:30,6.2
North Marsh,5/4/21 7:45,6.2
North Marsh,5/4/21 8:00,6.2
North Marsh,5/4/21 8:15,6.2
North Marsh,5/4/21 8:30,4.7
North Marsh,5/4/21 8:45,4.8
North Marsh,5/4/21 9:00,4.4
North Marsh,5/4/21 9:15,4.4
North Marsh,5/4/21 9:30,5.1
North Marsh,5/4/21 9:45,5.7
North Marsh,5/4/21 10:00,6
North Marsh,5/4/21 10:15,6.5
North Marsh,5/4/21 10:30,6.2
North Marsh,5/4/21 10:45,6.7
North Marsh,5/4/21 11:00,7.7
North Marsh,5/4/21 11:15,7.9
North Marsh,5/4/21 11:30,8.4
North Marsh,5/4/21 11:45,8.8
North Marsh,5/4/21 12:00,8.5
North Marsh,5/4/21 12:15,9.1
North Marsh,5/4/21 12:30,9
North Marsh,5/4/21 12:45,9
North Marsh,5/4/21 13:00,9.4
North Marsh,5/4/21 13:15,8.9
North Marsh,5/4/21 13:30,9.3
North Marsh,5/4/21 13:45,9.9
North Marsh,5/4/21 14:00,9.2
North Marsh,5/4/21 14:15,9
North Marsh,5/4/21 14:30,10
North Marsh,5/4/21 14:45,10.3
North Marsh,5/4/21 15:00,9.8
North Marsh,5/4/21 15:15,10
North Marsh,5/4/21 15:30,11.5
North Marsh,5/4/21 15:45,10
North Marsh,5/4/21 16:00,11.5
North Marsh,5/4/21 16:15,10.6
North Marsh,5/4/21 16:30,9.7
North Marsh,5/4/21 16:45,9.3
North Marsh,5/4/21 17:00,9.1
North Marsh,5/4/21 17:15,8.9
North Marsh,5/4/21 17:30,9.2
North Marsh,5/4/21 17:45,9.3
North Marsh,5/4/21 18:00,9.5
North Marsh,5/4/21 18:15,9.6
North Marsh,5/4/21 18:30,9.7
North Marsh,5/4/21 18:45,9.7
North Marsh,5/4/21 19:00,9.5
North Marsh,5/4/21 19:15,9.4
North Marsh,5/4/21 19:30,9.2
North Marsh,5/4/21 19:45,9.1
North Marsh,5/4/21 20:00,9
North Marsh,5/4/21 20:15,8.5
North Marsh,5/4/21 20:30,8.6
North Marsh,5/4/21 20:45,8.4
North Marsh,5/4/21 21:00,8.1
North Marsh,5/4/21 21:15,7.9
North Marsh,5/4/21 21:30,7.5
North Marsh,5/4/21 21:45,7.4
North Marsh,5/4/21 22:00,7.3
North Marsh,5/4/21 22:15,6.9
North Marsh,5/4/21 22:30,6.4
North Marsh,5/4/21 22:45,6.6
North Marsh,5/4/21 23:00,6.1
North Marsh,5/4/21 23:15,6.2
North Marsh,5/4/21 23:30,5.8
North Marsh,5/4/21 23:45,5.1
North Marsh,5/5/21 0:00,5.6
North Marsh,5/5/21 0:15,5.3
North Marsh,5/5/21 0:30,4.3
North Marsh,5/5/21 0:45,4.6
North Marsh,5/5/21 1:00,3.8
North Marsh,5/5/21 1:15,3.6
North Marsh,5/5/21 1:30,4.6
North Marsh,5/5/21 1:45,5.3
North Marsh,5/5/21 2:00,5.2
North Marsh,5/5/21 2:15,5.2
North Marsh,5/5/21 2:30,5.3
North Marsh,5/5/21 2:45,5.3
North Marsh,5/5/21 3:00,5.3
North Marsh,5/5/21 3:15,5.2
North Marsh,5/5/21 3:30,5.3
North Marsh,5/5/21 3:45,5.2
North Marsh,5/5/21 4:00,5.3
North Marsh,5/5/21 4:15,5.2
North Marsh,5/5/21 4:30,5.1
North Marsh,5/5/21 4:45,5.1
North Marsh,5/5/21 5:00,5.4
